transition(MB),memory(MB),memory(MB),memory(GB),memory(GB)
4.88,250.0706304,239.2694784,0.25007063,0.239269478
4.89,250.5826304,239.2670208,0.25058263,0.239267021
4.9,250.8816384,239.2702976,0.250881638,0.239270298
4.91,250.9750272,239.321088,0.250975027,0.239321088
4.92,251.0430208,239.4947584,0.251043021,0.239494758
4.93,251.0659584,239.7667328,0.251065958,0.239766733
4.94,251.0733312,240.365568,0.251073331,0.240365568
4.95,251.0651392,240.7841792,0.251065139,0.240784179
4.96,251.0577664,240.7841792,0.251057766,0.240784179
4.97,251.0495744,240.78336,0.251049574,0.24078336
4.98,251.0446592,240.78336,0.251044659,0.24078336
4.99,251.0381056,240.5720064,0.251038106,0.240572006
